No.,toeNodeLabel,x,y,z
1,2,-17.3877620697,-10.0,30.7413768768
2,16,-19.1043949127,-10.0,30.4386882782
3,30,-20.8475112915,-10.0,30.4386882782
4,44,-22.5641441345,-10.0,30.7413768768
5,58,-24.2021350861,-10.0,31.337556839
6,72,-25.7117176056,-10.0,32.2091140747
7,86,-27.0470199585,-10.0,33.3295669556
8,100,-28.1674728394,-10.0,34.6648712158
9,114,-29.0390300751,-10.0,36.1744537354
10,128,-29.6352119446,-10.0,37.8124427795
11,142,-29.9379005432,-10.0,39.5290794373
12,156,-29.9379005432,-10.0,41.2721939087
13,170,-29.6352119446,-10.0,42.9888267517
14,184,-29.0390300751,-10.0,44.6268157959
15,198,-28.1674728394,-10.0,46.1363983154
16,212,-27.0470199585,-10.0,47.4717025757
17,226,-25.7117176056,-10.0,48.5921554565
18,240,-24.2021350861,-10.0,49.4637145996
19,254,-22.5641441345,-10.0,50.0598945618
20,268,-20.8475112915,-10.0,50.3625831604
21,282,-19.1043949127,-10.0,50.3625831604
22,296,-17.3877620697,-10.0,50.0598945618
23,310,-15.7497701645,-10.0,49.4637145996
24,324,-14.2401885986,-10.0,48.5921554565
25,338,-12.9048852921,-10.0,47.4717025757
26,352,-11.7844324112,-10.0,46.1363983154
27,366,-10.9128751755,-10.0,44.6268157959
28,380,-10.3166952133,-10.0,42.9888267517
